t_ns,cycles,period_ms.min,period_ms.mean,period_ms.max,period_ms.p95,period_ms.p99,rpc_ms.mean,rpc_ms.max,total_ms.mean,total_ms.max,late,late_run_max,qf_events,qf_retries,qf_blocked_ms,rc.ok,rc.busy,rc.bad,rc.inval,rc.ign,rc.other,exc
1784876457285231988,250,7.78,8,8.22,8.04,8.11,2.06,3.46,4.17,6.34,0,0,0,0,0,250,0,0,0,0,0,0
1784876459286283454,250,7.37,8,8.48,8.05,8.35,2.11,3.55,4.29,6.41,0,0,0,0,0,250,0,0,0,0,0,0
1784876461286341398,250,7.53,8,8.45,8.1,8.28,2.11,3.38,4.31,6.84,0,0,0,0,0,250,0,0,0,0,0,0
1784876463285366455,250,7.91,8,8.11,8.04,8.07,2.02,2.59,4.11,6.75,0,0,0,0,0,250,0,0,0,0,0,0
1784876465285846791,250,7.21,8,8.58,8.05,8.19,2.05,3.46,4.17,5.76,0,0,0,0,0,250,0,0,0,0,0,0
1784876467285442927,250,7.91,8,8.07,8.04,8.07,2.04,3.86,4.15,7.16,0,0,0,0,0,250,0,0,0,0,0,0
1784876469285034734,250,7.73,8,8.28,8.05,8.08,2,2.45,4.05,5.37,0,0,0,0,0,250,0,0,0,0,0,0
1784876471285416892,250,7.34,8,8.66,8.04,8.12,2.06,2.53,4.18,6.35,0,0,0,0,0,250,0,0,0,0,0,0
1784876473286184280,250,7.82,8,8.22,8.05,8.07,2.09,3.21,4.2,5.75,0,0,0,0,0,250,0,0,0,0,0,0
1784876475285769658,250,7.66,8,8.32,8.06,8.2,2.06,3.28,4.2,6.56,0,0,0,0,0,250,0,0,0,0,0,0
1784876477285613410,250,7.17,8,8.83,8.07,8.69,2.09,3.58,4.28,7.35,0,0,0,0,0,250,0,0,0,0,0,0
1784876479286207517,250,7.32,8,8.66,8.08,8.38,2.14,3.83,4.37,6.61,0,0,0,0,0,250,0,0,0,0,0,0
1784876481286151899,250,7.19,8,8.82,8.07,8.39,2.07,3.22,4.27,5.63,0,0,0,0,0,250,0,0,0,0,0,0
1784876483285705065,250,7.27,8,8.73,8.04,8.22,2.12,3.59,4.32,6.33,0,0,0,0,0,250,0,0,0,0,0,0
1784876485285920118,250,7.71,8,8.36,8.07,8.23,2.07,3.17,4.25,6.76,0,0,0,0,0,250,0,0,0,0,0,0
1784876487286106644,250,7.66,8,8.38,8.05,8.3,2.05,3.69,4.17,5.78,0,0,0,0,0,250,0,0,0,0,0,0
1784876489285497278,250,7.58,8,8.41,8.05,8.2,2.1,3.37,4.26,6.05,0,0,0,0,0,250,0,0,0,0,0,0
1784876491285764112,250,7.73,8,8.24,8.05,8.11,2.09,3.58,4.25,5.98,0,0,0,0,0,250,0,0,0,0,0,0
1784876493285419394,250,7.26,8,8.74,8.04,8.24,2.07,3.3,4.23,6.81,0,0,0,0,0,250,0,0,0,0,0,0
1784876495285649850,250,7.29,8,8.78,8.07,8.17,2.07,3.31,4.22,6.39,0,0,0,0,0,250,0,0,0,0,0,0
1784876497286646349,250,7.31,8,8.62,8.08,8.31,2.1,3.56,4.27,7.26,0,0,0,0,0,250,0,0,0,0,0,0
1784876499284456402,250,7.54,8,8.46,8.04,8.08,2.04,2.91,4.17,5.55,0,0,0,0,0,250,0,0,0,0,0,0
1784876501286399941,250,7.91,8,8.08,8.04,8.07,2.06,2.73,4.23,6.02,0,0,0,0,0,250,0,0,0,0,0,0
1784876503285532029,250,7.56,8,8.6,8.07,8.37,2.09,3.2,4.29,6.38,0,0,0,0,0,250,0,0,0,0,0,0
1784876505286264612,250,7.32,8,8.69,8.05,8.26,2.11,3.49,4.34,6.39,0,0,0,0,0,250,0,0,0,0,0,0
1784876507285298389,250,7.13,8,8.87,8.08,8.44,2.09,3.17,4.22,5.55,0,0,0,0,0,250,0,0,0,0,0,0
1784876509285559355,250,7.27,8,8.72,8.05,8.38,2.04,2.69,4.22,6.6,0,0,0,0,0,250,0,0,0,0,0,0
1784876511286552307,250,7.24,8,8.47,8.04,8.36,2.11,3.27,4.25,6.24,0,0,0,0,0,250,0,0,0,0,0,0
1784876513285378766,250,7.69,8,8.31,8.06,8.27,2.1,3.77,4.28,6.44,0,0,0,0,0,250,0,0,0,0,0,0
1784876515287321344,250,7.37,8,8.69,8.08,8.27,2.11,3.25,4.35,6.62,0,0,0,0,0,250,0,0,0,0,0,0
1784876517286067726,250,7.36,8,8.35,8.05,8.23,2.13,3.2,4.31,6.23,0,0,0,0,0,250,0,0,0,0,0,0
1784876519286510726,250,7.64,8,8.38,8.06,8.23,2.11,3.4,4.3,6.07,0,0,0,0,0,250,0,0,0,0,0,0
1784876521285498100,250,7.78,8,8.23,8.06,8.11,2.08,3.16,4.3,6.65,0,0,0,0,0,250,0,0,0,0,0,0
1784876523285607999,250,7.34,8,8.81,8.1,8.4,2.14,3.37,4.33,6.69,0,0,0,0,0,250,0,0,0,0,0,0
